id,latestplate,bus,weather_condition,vic,confidence,north,south,condition,nsw,qld,tas,act,heavy,east,receivetimeutc,wa,light,makemodel,ute_or_truck,sedan,west,trailerplate,cameraid,dateplate,sa,nt,suv,motorcycle,watercraft,weather_temp,chance_of_rain
1284397,NZZ687,0,Partly cloudy,0,94.03,0,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,honda_civic,0,1,0,TF15YK,152,2021-04-09T08:30:41-CYD61C,0,0,0,0,0,22,0
1284398,MUH432,0,Partly cloudy,0,93.06,0,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,toyota_corolla,1,1,0,Z61846,618462,2021-04-09T08:30:42-DHM22Q,0,0,0,0,0,22,63
1284399,PCK244,0,Partly cloudy,0,93.1,0,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,toyota_hilux,1,0,0,Z61846,618462,2021-04-09T08:30:43-ALO91M,0,0,0,0,0,22,63
1284400,BEX917,0,Partly cloudy,0,93.2,0,1,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,toyota_hilux,1,0,0,TH28FR,282,2021-04-09T08:30:44-CCW39U,0,0,1,0,0,22,0
1284401,QHS537,0,Partly cloudy,0,93.01,0,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,toyota_corolla,1,1,0,Z61846,618462,2021-04-09T08:30:45-DMS10M,0,0,0,0,0,22,63
1284402,YDF574,0,Partly cloudy,0,93.66,0,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,honda_civic,1,0,0,Z61846,618461,2021-04-09T08:30:45-DPK86K,0,0,0,1,0,22,63
1284403,ERF583,0,Partly cloudy,0,93.19,1,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,toyota_corolla,1,0,0,TH28FR,281,2021-04-09T08:30:46-CW29SK,0,0,0,0,0,22,0
1284404,IUE844,0,Partly cloudy,0,93.46,0,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,toyota_corolla,1,1,0,Z61846,618461,2021-04-09T08:30:49-DZP80D,0,0,0,0,0,22,63
1284405,MNP121,0,Partly cloudy,0,93.07,0,0,Partly cloudy,1,0,0,0,1,0,9/04/2021 8:30,0,0,toyota_hilux,1,0,0,Z61846,618462,2021-04-09T08:30:51-EIK83K,0,0,0,0,0,22,63
1284406,ULG557,0,Partly cloudy,0,93.04,1,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,toyota_corolla,1,1,0,TH28FR,281,2021-04-09T08:30:50-EEN08Q,0,0,0,0,0,22,0
1284407,ZYP339,0,Partly cloudy,0,93.44,0,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,holden_commodore,1,0,0,Z61846,618461,2021-04-09T08:30:51-CQS67W,0,0,0,1,0,22,63
1284408,ENY363,0,Partly cloudy,0,93.11,0,0,Partly cloudy,1,0,0,0,0,0,9/04/2021 8:30,0,1,toyota_corolla,1,1,0,Z61846,618462,2021-04-09T08:30:52-CT66HI,0,0,0,0,0,22,63
